,TYPE,NUMBER,SESSION,AUTHORSHIP,TITLE,URL
9,Projeto de Lei,765/XIV,2,PCP,"
Regula o regime de trabalho em teletrabalho ",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110596
0,Projeto de Lei,764/XIV,2,PAN,"
Determina a obrigatoriedade da instalação de sistema de deteção de incêndio em explorações pecuárias, procedendo à quinta alteração ao Decreto-lei n.º 220/2008, de 12 de Novembro",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110594
1,Projeto de Lei,763/XIV,2,PCP,"
Reforço dos Direitos dos Trabalhadores da Saúde",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110591
2,Projeto de Lei,762/XIV,2,BE,"
Programa de vinculação dos docentes de técnicas especiais do ensino artístico especializado nas áreas das artes visuais e dos audiovisuais",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110586
3,Projeto de Lei,761/XIV,2,BE,"
Determina a revisão do regime de recrutamento e mobilidade do pessoal docente dos ensinos básico e secundário",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110585
4,Projeto de Lei,760/XIV,2,PSD,"
Altera o Decreto-Lei n.º 22-D/2021, de 22 de março, permitindo aos Alunos a realização de exame de melhoria de nota interna no Ensino Secundário ",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110583
5,Projeto de Lei,759/XIV,2,IL,"
Elimina o dia de reflexão e modifica os períodos de votação ",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110582
6,Projeto de Lei,758/XIV,2,PCP,"
Regime jurídico da contratação do pessoal de investigação científica em formação",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110581
7,Projeto de Lei,757/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Reforça a participação política dos grupos de cidadãos eleitores",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110576
8,Projeto de Lei,756/XIV,2,PCP,"
Actualização da caracterização e diagnóstico do estado das áreas protegidas e regime de aprovação de projectos ",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110573
9,Projeto de Lei,755/XIV,2,PEV,"
Relações de trabalho dentro da Infraestruturas de Portugal, S.A. (4ª. alteração ao Decreto-Lei n.º 91/2015, de 29 de maio)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110572
